day,time,loc_x,loc_y,participantId
2022-10-15,00:00:00,648.3090753536089,2402.9578493844297,9
2022-10-15,00:00:00,1792.288740518518,3445.633257478743,19
2022-10-15,00:00:00,636.1384569725824,3004.6973477502765,24
2022-10-15,00:00:00,-1702.1057284608669,2048.271560857532,25
2022-10-15,00:00:00,-1627.3229182469468,2048.271560857532,26
2022-10-15,00:00:00,639.0905508103546,3282.9862498643774,30
2022-10-15,00:00:00,1200.302487607741,3650.538529759376,35
2022-10-15,00:00:00,626.5021538466519,4478.576143046458,40
2022-10-15,00:00:00,641.5651457940667,3241.9334366480957,52
2022-10-15,00:00:00,1274.271591356552,1163.5051209752276,60
2022-10-15,00:00:00,-1396.3194484189332,2171.962600676111,61
2022-10-15,00:00:00,2123.90626782597,5021.749305819725,63
2022-10-15,00:00:00,1250.9156730394975,4062.330557102797,68
2022-10-15,00:00:00,-2504.3540381962953,2481.628836470987,78
2022-10-15,00:00:00,1809.880173357865,4339.172426035451,80
2022-10-15,00:00:00,2191.451754179263,4945.821523930677,105
2022-10-15,00:00:00,2066.7737105199117,4943.225138225304,106
2022-10-15,00:00:00,-67.28527771284766,4514.923398245357,117
2022-10-15,00:00:00,648.3090753536089,2402.9578493844297,119
2022-10-15,00:00:00,629.2274283518273,2166.354548365224,135
2022-10-15,00:00:00,-863.2447059836384,4984.7842995591,145
2022-10-15,00:00:00,-1598.21244043112,1727.7262699483656,153
2022-10-15,00:00:00,-514.5286310454641,5550.305147193068,155
2022-10-15,00:00:00,2488.067018234457,4043.9132725302534,162
2022-10-15,00:00:00,-862.4203644981228,5060.750706290245,163
2022-10-15,00:00:00,1784.5159809592983,3423.2709297455353,175
2022-10-15,00:00:00,359.2567913319125,4138.105315267985,176
2022-10-15,00:00:00,456.2488100443161,1550.1852766322693,179
2022-10-15,00:00:00,1771.0196679998585,3327.219248047262,191
2022-10-15,00:00:00,1273.5650927422346,3620.3684115523793,197
2022-10-15,00:00:00,-56.31352508268587,4740.277986216306,202
2022-10-15,00:00:00,-2741.9301309353727,6851.97126749714,205
2022-10-15,00:00:00,641.8332406861838,2281.1413887105073,220
2022-10-15,00:00:00,2082.984323442287,4099.602007894267,240
2022-10-15,00:00:00,-1303.2969263511116,2567.8791799505025,253
2022-10-15,00:00:00,-957.8399334071364,3676.695910802657,258
2022-10-15,00:00:00,-514.2513063873802,4243.552247291387,272
2022-10-15,00:00:00,-670.0361384681796,4866.766649665868,277
2022-10-15,00:00:00,-706.5287818001921,4880.471423292969,283
2022-10-15,00:00:00,-1485.237583922026,4422.477636019507,294
2022-10-15,00:00:00,-748.3500620756813,3878.175006672024,295
2022-10-15,00:00:00,-3660.2646170373177,5706.288268656919,308
2022-10-15,00:00:00,-567.7565018610546,4873.227525333588,320
2022-10-15,00:00:00,-1966.195146296298,4552.187553862719,321
