day,time,state,count
2023-04-28,00:00:00,AtHome,827
2023-04-28,00:00:00,Transport,36
2023-04-28,00:00:00,AtRecreation,17
2023-04-28,00:00:00,AtRestaurant,0
2023-04-28,00:00:00,AtWork,0
2023-04-28,00:05:00,AtHome,829
2023-04-28,00:05:00,Transport,38
2023-04-28,00:05:00,AtRecreation,11
2023-04-28,00:05:00,AtRestaurant,2
2023-04-28,00:05:00,AtWork,0
2023-04-28,00:10:00,AtHome,836
2023-04-28,00:10:00,Transport,32
2023-04-28,00:10:00,AtRecreation,9
2023-04-28,00:10:00,AtRestaurant,3
2023-04-28,00:10:00,AtWork,0
2023-04-28,00:15:00,AtHome,839
2023-04-28,00:15:00,Transport,30
2023-04-28,00:15:00,AtRecreation,7
2023-04-28,00:15:00,AtRestaurant,4
2023-04-28,00:15:00,AtWork,0
2023-04-28,00:20:00,AtHome,844
2023-04-28,00:20:00,Transport,23
2023-04-28,00:20:00,AtRecreation,8
2023-04-28,00:20:00,AtRestaurant,5
2023-04-28,00:20:00,AtWork,0
2023-04-28,00:25:00,AtHome,848
2023-04-28,00:25:00,Transport,25
2023-04-28,00:25:00,AtRecreation,5
2023-04-28,00:25:00,AtRestaurant,2
2023-04-28,00:25:00,AtWork,0
2023-04-28,00:30:00,AtHome,851
2023-04-28,00:30:00,Transport,25
2023-04-28,00:30:00,AtRecreation,4
2023-04-28,00:30:00,AtRestaurant,0
2023-04-28,00:30:00,AtWork,0
2023-04-28,00:35:00,AtHome,855
2023-04-28,00:35:00,Transport,22
2023-04-28,00:35:00,AtRecreation,3
2023-04-28,00:35:00,AtRestaurant,0
2023-04-28,00:35:00,AtWork,0
2023-04-28,00:40:00,AtHome,859
2023-04-28,00:40:00,Transport,20
2023-04-28,00:40:00,AtRecreation,1
2023-04-28,00:40:00,AtRestaurant,0
2023-04-28,00:40:00,AtWork,0
2023-04-28,00:45:00,AtHome,864
2023-04-28,00:45:00,Transport,16
2023-04-28,00:45:00,AtRecreation,0
2023-04-28,00:45:00,AtRestaurant,0
2023-04-28,00:45:00,AtWork,0
2023-04-28,00:50:00,AtHome,867
2023-04-28,00:50:00,Transport,13
2023-04-28,00:50:00,AtRecreation,0
2023-04-28,00:50:00,AtRestaurant,0
2023-04-28,00:50:00,AtWork,0
2023-04-28,00:55:00,AtHome,868
2023-04-28,00:55:00,Transport,12
2023-04-28,00:55:00,AtRecreation,0
2023-04-28,00:55:00,AtRestaurant,0
2023-04-28,00:55:00,AtWork,0
2023-04-28,01:00:00,AtHome,871
2023-04-28,01:00:00,Transport,9
2023-04-28,01:00:00,AtRecreation,0
2023-04-28,01:00:00,AtRestaurant,0
2023-04-28,01:00:00,AtWork,0
2023-04-28,01:05:00,AtHome,872
2023-04-28,01:05:00,Transport,8
2023-04-28,01:05:00,AtRecreation,0
2023-04-28,01:05:00,AtRestaurant,0
2023-04-28,01:05:00,AtWork,0
2023-04-28,01:10:00,AtHome,873
2023-04-28,01:10:00,Transport,7
2023-04-28,01:10:00,AtRecreation,0
2023-04-28,01:10:00,AtRestaurant,0
2023-04-28,01:10:00,AtWork,0
2023-04-28,01:15:00,AtHome,874
2023-04-28,01:15:00,Transport,6
2023-04-28,01:15:00,AtRecreation,0
2023-04-28,01:15:00,AtRestaurant,0
2023-04-28,01:15:00,AtWork,0
2023-04-28,01:20:00,AtHome,875
2023-04-28,01:20:00,Transport,5
2023-04-28,01:20:00,AtRecreation,0
2023-04-28,01:20:00,AtRestaurant,0
2023-04-28,01:20:00,AtWork,0
2023-04-28,01:25:00,AtHome,875
2023-04-28,01:25:00,Transport,5
2023-04-28,01:25:00,AtRecreation,0
2023-04-28,01:25:00,AtRestaurant,0
2023-04-28,01:25:00,AtWork,0
2023-04-28,01:30:00,AtHome,876
2023-04-28,01:30:00,Transport,4
2023-04-28,01:30:00,AtRecreation,0
2023-04-28,01:30:00,AtRestaurant,0
2023-04-28,01:30:00,AtWork,0
2023-04-28,01:35:00,AtHome,877
2023-04-28,01:35:00,Transport,3
2023-04-28,01:35:00,AtRecreation,0
2023-04-28,01:35:00,AtRestaurant,0
2023-04-28,01:35:00,AtWork,0
2023-04-28,01:40:00,AtHome,879
2023-04-28,01:40:00,Transport,1
2023-04-28,01:40:00,AtRecreation,0
2023-04-28,01:40:00,AtRestaurant,0
2023-04-28,01:40:00,AtWork,0
2023-04-28,01:45:00,AtHome,879
2023-04-28,01:45:00,Transport,1
2023-04-28,01:45:00,AtRecreation,0
2023-04-28,01:45:00,AtRestaurant,0
2023-04-28,01:45:00,AtWork,0
2023-04-28,01:50:00,AtHome,879
