day,time,state,count
2022-03-24,00:00:00,AtHome,758
2022-03-24,00:00:00,Transport,75
2022-03-24,00:00:00,AtRecreation,46
2022-03-24,00:00:00,AtRestaurant,1
2022-03-24,00:00:00,AtWork,0
2022-03-24,00:05:00,AtHome,766
2022-03-24,00:05:00,Transport,71
2022-03-24,00:05:00,AtRecreation,40
2022-03-24,00:05:00,AtRestaurant,3
2022-03-24,00:05:00,AtWork,0
2022-03-24,00:10:00,AtHome,777
2022-03-24,00:10:00,Transport,73
2022-03-24,00:10:00,AtRecreation,29
2022-03-24,00:10:00,AtRestaurant,1
2022-03-24,00:10:00,AtWork,0
2022-03-24,00:15:00,AtHome,792
2022-03-24,00:15:00,Transport,59
2022-03-24,00:15:00,AtRecreation,28
2022-03-24,00:15:00,AtRestaurant,1
2022-03-24,00:15:00,AtWork,0
2022-03-24,00:20:00,AtHome,805
2022-03-24,00:20:00,Transport,49
2022-03-24,00:20:00,AtRecreation,25
2022-03-24,00:20:00,AtRestaurant,1
2022-03-24,00:20:00,AtWork,0
2022-03-24,00:25:00,AtHome,812
2022-03-24,00:25:00,Transport,50
2022-03-24,00:25:00,AtRecreation,18
2022-03-24,00:25:00,AtRestaurant,0
2022-03-24,00:25:00,AtWork,0
2022-03-24,00:30:00,AtHome,819
2022-03-24,00:30:00,Transport,44
2022-03-24,00:30:00,AtRecreation,17
2022-03-24,00:30:00,AtRestaurant,0
2022-03-24,00:30:00,AtWork,0
2022-03-24,00:35:00,AtHome,830
2022-03-24,00:35:00,Transport,35
2022-03-24,00:35:00,AtRecreation,15
2022-03-24,00:35:00,AtRestaurant,0
2022-03-24,00:35:00,AtWork,0
2022-03-24,00:40:00,AtHome,837
2022-03-24,00:40:00,Transport,32
2022-03-24,00:40:00,AtRecreation,11
2022-03-24,00:40:00,AtRestaurant,0
2022-03-24,00:40:00,AtWork,0
2022-03-24,00:45:00,AtHome,843
2022-03-24,00:45:00,Transport,33
2022-03-24,00:45:00,AtRecreation,4
2022-03-24,00:45:00,AtRestaurant,0
2022-03-24,00:45:00,AtWork,0
2022-03-24,00:50:00,AtHome,847
2022-03-24,00:50:00,Transport,29
2022-03-24,00:50:00,AtRecreation,4
2022-03-24,00:50:00,AtRestaurant,0
2022-03-24,00:50:00,AtWork,0
2022-03-24,00:55:00,AtHome,852
2022-03-24,00:55:00,Transport,26
2022-03-24,00:55:00,AtRecreation,2
2022-03-24,00:55:00,AtRestaurant,0
2022-03-24,00:55:00,AtWork,0
2022-03-24,01:00:00,AtHome,857
2022-03-24,01:00:00,Transport,22
2022-03-24,01:00:00,AtRecreation,1
2022-03-24,01:00:00,AtRestaurant,0
2022-03-24,01:00:00,AtWork,0
2022-03-24,01:05:00,AtHome,862
2022-03-24,01:05:00,Transport,17
2022-03-24,01:05:00,AtRecreation,1
2022-03-24,01:05:00,AtRestaurant,0
2022-03-24,01:05:00,AtWork,0
2022-03-24,01:10:00,AtHome,866
2022-03-24,01:10:00,Transport,14
2022-03-24,01:10:00,AtRecreation,0
2022-03-24,01:10:00,AtRestaurant,0
2022-03-24,01:10:00,AtWork,0
2022-03-24,01:15:00,AtHome,869
2022-03-24,01:15:00,Transport,11
2022-03-24,01:15:00,AtRecreation,0
2022-03-24,01:15:00,AtRestaurant,0
2022-03-24,01:15:00,AtWork,0
2022-03-24,01:20:00,AtHome,873
2022-03-24,01:20:00,Transport,7
2022-03-24,01:20:00,AtRecreation,0
2022-03-24,01:20:00,AtRestaurant,0
2022-03-24,01:20:00,AtWork,0
2022-03-24,01:25:00,AtHome,876
2022-03-24,01:25:00,Transport,4
2022-03-24,01:25:00,AtRecreation,0
2022-03-24,01:25:00,AtRestaurant,0
2022-03-24,01:25:00,AtWork,0
2022-03-24,01:30:00,AtHome,877
2022-03-24,01:30:00,Transport,3
2022-03-24,01:30:00,AtRecreation,0
2022-03-24,01:30:00,AtRestaurant,0
2022-03-24,01:30:00,AtWork,0
2022-03-24,01:35:00,AtHome,877
2022-03-24,01:35:00,Transport,3
2022-03-24,01:35:00,AtRecreation,0
2022-03-24,01:35:00,AtRestaurant,0
2022-03-24,01:35:00,AtWork,0
2022-03-24,01:40:00,AtHome,877
2022-03-24,01:40:00,Transport,3
2022-03-24,01:40:00,AtRecreation,0
2022-03-24,01:40:00,AtRestaurant,0
2022-03-24,01:40:00,AtWork,0
2022-03-24,01:45:00,AtHome,877
2022-03-24,01:45:00,Transport,3
2022-03-24,01:45:00,AtRecreation,0
2022-03-24,01:45:00,AtRestaurant,0
2022-03-24,01:45:00,AtWork,0
2022-03-24,01:50:00,AtHome,878
2022-03-24,01:50:00,Transport,2
2022-03-24,01:50:00,AtRecreation,0
2022-03-24,01:50:00,AtRestaurant,0
2022-03-24,01:50:00,AtWork,0
2022-03-24,01:55:00,AtHome,880
2022-03-24,01:55:00,Transport,0
2022-03-24,01:55:00,AtRecreation,0
2022-03-24,01:55:00,AtRestaurant,0
2022-03-24,01:55:00,AtWork,0
2022-03-24,02:00:00,AtHome,880
2022-03-24,02:00:00,Transport,0
2022-03-24,02:00:00,AtRecreation,0
2022-03-24,02:00:00,AtRestaurant,0
2022-03-24,02:00:00,AtWork,0
2022-03-24,02:05:00,AtHome,880
2022-03-24,02:05:00,Transport,0
2022-03-24,02:05:00,AtRecreation,0
2022-03-24,02:05:00,AtRestaurant,0
2022-03-24,02:05:00,AtWork,0
2022-03-24,02:10:00,AtHome,880
2022-03-24,02:10:00,Transport,0
2022-03-24,02:10:00,AtRecreation,0
2022-03-24,02:10:00,AtRestaurant,0
2022-03-24,02:10:00,AtWork,0
2022-03-24,02:15:00,AtHome,880
2022-03-24,02:15:00,Transport,0
2022-03-24,02:15:00,AtRecreation,0
2022-03-24,02:15:00,AtRestaurant,0
2022-03-24,02:15:00,AtWork,0
2022-03-24,02:20:00,AtHome,880
2022-03-24,02:20:00,Transport,0
2022-03-24,02:20:00,AtRecreation,0
2022-03-24,02:20:00,AtRestaurant,0
2022-03-24,02:20:00,AtWork,0
2022-03-24,02:25:00,AtHome,880
2022-03-24,02:25:00,Transport,0
2022-03-24,02:25:00,AtRecreation,0
2022-03-24,02:25:00,AtRestaurant,0
2022-03-24,02:25:00,AtWork,0
2022-03-24,02:30:00,AtHome,880
2022-03-24,02:30:00,Transport,0
2022-03-24,02:30:00,AtRecreation,0
2022-03-24,02:30:00,AtRestaurant,0
2022-03-24,02:30:00,AtWork,0
2022-03-24,02:35:00,AtHome,880
2022-03-24,02:35:00,Transport,0
2022-03-24,02:35:00,AtRecreation,0
2022-03-24,02:35:00,AtRestaurant,0
2022-03-24,02:35:00,AtWork,0
2022-03-24,02:40:00,AtHome,880
2022-03-24,02:40:00,Transport,0
2022-03-24,02:40:00,AtRecreation,0
2022-03-24,02:40:00,AtRestaurant,0
2022-03-24,02:40:00,AtWork,0
2022-03-24,02:45:00,AtHome,880
2022-03-24,02:45:00,Transport,0
2022-03-24,02:45:00,AtRecreation,0
2022-03-24,02:45:00,AtRestaurant,0
2022-03-24,02:45:00,AtWork,0
2022-03-24,02:50:00,AtHome,880
2022-03-24,02:50:00,Transport,0
2022-03-24,02:50:00,AtRecreation,0
2022-03-24,02:50:00,AtRestaurant,0
2022-03-24,02:50:00,AtWork,0
2022-03-24,02:55:00,AtHome,880
2022-03-24,02:55:00,Transport,0
2022-03-24,02:55:00,AtRecreation,0
2022-03-24,02:55:00,AtRestaurant,0
2022-03-24,02:55:00,AtWork,0
2022-03-24,03:00:00,AtHome,880
2022-03-24,03:00:00,Transport,0
2022-03-24,03:00:00,AtRecreation,0
2022-03-24,03:00:00,AtRestaurant,0
2022-03-24,03:00:00,AtWork,0
2022-03-24,03:05:00,AtHome,880
2022-03-24,03:05:00,Transport,0
2022-03-24,03:05:00,AtRecreation,0
2022-03-24,03:05:00,AtRestaurant,0
2022-03-24,03:05:00,AtWork,0
2022-03-24,03:10:00,AtHome,880
2022-03-24,03:10:00,Transport,0
2022-03-24,03:10:00,AtRecreation,0
2022-03-24,03:10:00,AtRestaurant,0
2022-03-24,03:10:00,AtWork,0
2022-03-24,03:15:00,AtHome,880
2022-03-24,03:15:00,Transport,0
2022-03-24,03:15:00,AtRecreation,0
2022-03-24,03:15:00,AtRestaurant,0
2022-03-24,03:15:00,AtWork,0
2022-03-24,03:20:00,AtHome,880
2022-03-24,03:20:00,Transport,0
2022-03-24,03:20:00,AtRecreation,0
2022-03-24,03:20:00,AtRestaurant,0
2022-03-24,03:20:00,AtWork,0
2022-03-24,03:25:00,AtHome,880
2022-03-24,03:25:00,Transport,0
2022-03-24,03:25:00,AtRecreation,0
2022-03-24,03:25:00,AtRestaurant,0
2022-03-24,03:25:00,AtWork,0
2022-03-24,03:30:00,AtHome,880
2022-03-24,03:30:00,Transport,0
2022-03-24,03:30:00,AtRecreation,0
2022-03-24,03:30:00,AtRestaurant,0
2022-03-24,03:30:00,AtWork,0
2022-03-24,03:35:00,AtHome,880
2022-03-24,03:35:00,Transport,0
2022-03-24,03:35:00,AtRecreation,0
2022-03-24,03:35:00,AtRestaurant,0
2022-03-24,03:35:00,AtWork,0
2022-03-24,03:40:00,AtHome,880
2022-03-24,03:40:00,Transport,0
2022-03-24,03:40:00,AtRecreation,0
2022-03-24,03:40:00,AtRestaurant,0
2022-03-24,03:40:00,AtWork,0
2022-03-24,03:45:00,AtHome,880
2022-03-24,03:45:00,Transport,0
2022-03-24,03:45:00,AtRecreation,0
2022-03-24,03:45:00,AtRestaurant,0
2022-03-24,03:45:00,AtWork,0
2022-03-24,03:50:00,AtHome,880
2022-03-24,03:50:00,Transport,0
2022-03-24,03:50:00,AtRecreation,0
2022-03-24,03:50:00,AtRestaurant,0
2022-03-24,03:50:00,AtWork,0
2022-03-24,03:55:00,AtHome,880
2022-03-24,03:55:00,Transport,0
2022-03-24,03:55:00,AtRecreation,0
2022-03-24,03:55:00,AtRestaurant,0
2022-03-24,03:55:00,AtWork,0
2022-03-24,04:00:00,AtHome,880
2022-03-24,04:00:00,Transport,0
2022-03-24,04:00:00,AtRecreation,0
2022-03-24,04:00:00,AtRestaurant,0
2022-03-24,04:00:00,AtWork,0
2022-03-24,04:05:00,AtHome,880
2022-03-24,04:05:00,Transport,0
2022-03-24,04:05:00,AtRecreation,0
2022-03-24,04:05:00,AtRestaurant,0
2022-03-24,04:05:00,AtWork,0
2022-03-24,04:10:00,AtHome,880
2022-03-24,04:10:00,Transport,0
2022-03-24,04:10:00,AtRecreation,0
2022-03-24,04:10:00,AtRestaurant,0
2022-03-24,04:10:00,AtWork,0
2022-03-24,04:15:00,AtHome,880
2022-03-24,04:15:00,Transport,0
2022-03-24,04:15:00,AtRecreation,0
2022-03-24,04:15:00,AtRestaurant,0
2022-03-24,04:15:00,AtWork,0
2022-03-24,04:20:00,AtHome,880
2022-03-24,04:20:00,Transport,0
2022-03-24,04:20:00,AtRecreation,0
2022-03-24,04:20:00,AtRestaurant,0
2022-03-24,04:20:00,AtWork,0
2022-03-24,04:25:00,AtHome,880
2022-03-24,04:25:00,Transport,0
2022-03-24,04:25:00,AtRecreation,0
2022-03-24,04:25:00,AtRestaurant,0
2022-03-24,04:25:00,AtWork,0
2022-03-24,04:30:00,AtHome,880
2022-03-24,04:30:00,Transport,0
2022-03-24,04:30:00,AtRecreation,0
2022-03-24,04:30:00,AtRestaurant,0
2022-03-24,04:30:00,AtWork,0
2022-03-24,04:35:00,AtHome,880
2022-03-24,04:35:00,Transport,0
2022-03-24,04:35:00,AtRecreation,0
2022-03-24,04:35:00,AtRestaurant,0
2022-03-24,04:35:00,AtWork,0
2022-03-24,04:40:00,AtHome,880
2022-03-24,04:40:00,Transport,0
2022-03-24,04:40:00,AtRecreation,0
2022-03-24,04:40:00,AtRestaurant,0
2022-03-24,04:40:00,AtWork,0
2022-03-24,04:45:00,AtHome,880
2022-03-24,04:45:00,Transport,0
2022-03-24,04:45:00,AtRecreation,0
2022-03-24,04:45:00,AtRestaurant,0
2022-03-24,04:45:00,AtWork,0
2022-03-24,04:50:00,AtHome,878
2022-03-24,04:50:00,Transport,2
2022-03-24,04:50:00,AtRecreation,0
2022-03-24,04:50:00,AtRestaurant,0
2022-03-24,04:50:00,AtWork,0
2022-03-24,04:55:00,AtHome,878
2022-03-24,04:55:00,Transport,2
2022-03-24,04:55:00,AtRecreation,0
2022-03-24,04:55:00,AtRestaurant,0
2022-03-24,04:55:00,AtWork,0
2022-03-24,05:00:00,AtHome,876
2022-03-24,05:00:00,Transport,4
2022-03-24,05:00:00,AtRecreation,0
2022-03-24,05:00:00,AtRestaurant,0
2022-03-24,05:00:00,AtWork,0
2022-03-24,05:05:00,AtHome,875
2022-03-24,05:05:00,Transport,5
2022-03-24,05:05:00,AtRecreation,0
2022-03-24,05:05:00,AtRestaurant,0
2022-03-24,05:05:00,AtWork,0
2022-03-24,05:10:00,AtHome,875
2022-03-24,05:10:00,Transport,5
2022-03-24,05:10:00,AtRecreation,0
2022-03-24,05:10:00,AtRestaurant,0
2022-03-24,05:10:00,AtWork,0
2022-03-24,05:15:00,AtHome,875
2022-03-24,05:15:00,Transport,5
2022-03-24,05:15:00,AtRecreation,0
2022-03-24,05:15:00,AtRestaurant,0
2022-03-24,05:15:00,AtWork,0
2022-03-24,05:20:00,AtHome,874
2022-03-24,05:20:00,Transport,5
2022-03-24,05:20:00,AtRecreation,1
2022-03-24,05:20:00,AtRestaurant,0
2022-03-24,05:20:00,AtWork,0
2022-03-24,05:25:00,AtHome,873
